64145,Aasted ApS,8,,2/23/2023,08/2023,,,,,,
8177590,3f Frederikshavn,9,"Hurtig levering, og da der manglede noget af det bestilte, tog jeg kontakt og fik dejlig betjening.",3/2/2023,09/2023,Kundeservice - God service,Levering - Hurtig leveringstid,,,,
8162949,"Afdeling For Klinisk Biokemi, Glostrup",10,"Det er altid nemt og overskueligt, at finde de varer man søger. Der er altid hurtig levering af varer.",3/2/2023,09/2023,Lomax.dk - God hjemmeside/nem genbestilling/overskuelig,Levering - Hurtig leveringstid,,,,
37338,Asger G. Jørgensen A/S,0,I er sygt dyre med jeres priser,3/2/2023,09/2023,,,,Pris - Høje priser/dårlige tilbud,,
8155264,Assens Fjernvarme Produktion A/S,8,priser priser ,3/2/2023,09/2023,,,,Pris - Høje priser/dårlige tilbud,,
8190334,Bedre Bolig ApS,10,Nemt at bestille og i giver svar på henvendelser,3/2/2023,09/2023,Lomax.dk - God hjemmeside/nem genbestilling/overskuelig,Kundeservice - God service,,,,
168022,BW Epic Kosan,9,,3/2/2023,09/2023,,,,,,
8182017,Comfort Hotel Vesterbro,1,,3/2/2023,09/2023,,,,,,
8176228,Dansant Vejle,10,,3/2/2023,09/2023,,,,,,
8176260,Erhvervsservicegruppen v/Svend Düring,10,gode varer til fornuftig pris og hurtig levering.,3/2/2023,09/2023,Levering - Hurtig leveringstid,Pris - Gode priser/Gode tilbud,Sortiment - Godt/bredt/relevant sortiment/god kvalitet,,,
